name,processor,count,duration_seconds,pts_per_sec
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,52893,0.0821945692207664,643509.6686003024
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,74531,0.113065966003057,659181.5613018764
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,105021,0.16156713189070837,650014.6333664025
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,147983,0.22817472466733305,648551.2372842854
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,208520,0.3195144068873487,652615.3297166282
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,293822,0.45068137566440014,651950.6149257752
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,414019,0.6360187225603603,650954.1076610496
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,583387,0.9110735690006987,640329.1894856327
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,822041,1.254541432222248,655252.1733330619
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1158323,1.7657682734482094,655988.1143056306
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1632172,2.494681521551994,654260.6685059307
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,2299863,3.5245852405512195,652520.1812512607
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,3240696,4.937047278891991,656403.679554655
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,4566405,7.069378669226645,645941.4912767068
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,6434438,10.0346326010013,641223.0776997199
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,9066649,13.762446773888025,658796.2990129396
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,12775649,19.370044104884172,659557.0423496666
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,17391305,26.122751102558237,665753.194666271
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,18001933,27.62420273933301,651672.4906007064
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,25366194,39.0569778311087,649466.3798537926
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,34782609,52.95625027077748,656817.8226771822
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,35743040,56.693866138995,630456.9159628246
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,50364863,76.78950360511213,655882.1275756632
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,52173913,77.79399999999998,670667.5707638123
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,69565218,105.718,658026.239618608
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,70968206,112.4,631389.7330960854
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,86956522,133.395,651872.4240038982
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1,2.992957726948791e-05,33411.76492390565
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10,8.400041972183485e-05,119047.02420672102
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,14,0.00011273043411263616,124190.06553289511
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,19,7.013345990950863e-05,270912.0585882288
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,27,9.538100049311621e-05,283075.2441304978
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,39,0.00012241334964828402,318592.7034269885
memview_int,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,55,0.0001357658701534,405109.17757059453
